Timestamp for sample frequency every 1 min min, Temperature_Celsius,Relative_Humidity
2025-11-20 14:10:00,22.1,56.8
2025-11-20 14:11:00,24.4,59.3
2025-11-20 14:12:00,24.8,43.6
2025-11-20 14:13:00,24.2,41.8
2025-11-20 14:14:00,23.3,42
2025-11-20 14:15:00,22.9,42.4
2025-11-20 14:16:00,22.7,42.6
2025-11-20 14:17:00,22.5,43.7
2025-11-20 14:18:00,22,44.2
2025-11-20 14:19:00,21.6,45
2025-11-20 14:20:00,21.3,45.7
2025-11-20 14:21:00,21.1,46
2025-11-20 14:22:00,21,46.3
2025-11-20 14:23:00,20.8,46.6
2025-11-20 14:24:00,20.7,46.8
2025-11-20 14:25:00,20.6,47
2025-11-20 14:26:00,20.5,47.2
2025-11-20 14:27:00,20.4,47.3
2025-11-20 14:28:00,20.3,47.4
2025-11-20 14:29:00,20.2,47.7
2025-11-20 14:30:00,20.1,47.8
2025-11-20 14:31:00,20.1,47.9
2025-11-20 14:32:00,20,48
2025-11-20 14:33:00,19.9,48.1
2025-11-20 14:34:00,19.9,48.1
2025-11-20 14:35:00,19.8,48.3
2025-11-20 14:36:00,19.8,48.4
2025-11-20 14:37:00,19.7,48.5
2025-11-20 14:38:00,19.7,48.5
2025-11-20 14:39:00,19.7,48.6
2025-11-20 14:40:00,19.6,48.6
2025-11-20 14:41:00,19.5,48.6
2025-11-20 14:42:00,19.5,48.8
2025-11-20 14:43:00,19.5,48.7
2025-11-20 14:44:00,19.5,48.8
2025-11-20 14:45:00,19.4,48.9
2025-11-20 14:46:00,19.4,48.9
2025-11-20 14:47:00,19.4,49.1
2025-11-20 14:48:00,19.4,49
2025-11-20 14:50:00,19.5,48.8
2025-11-20 14:51:00,19.5,49
2025-11-20 14:52:00,19.4,49.1
2025-11-20 14:53:00,19.4,49.2
2025-11-20 14:54:00,19.3,49.2
2025-11-20 14:55:00,19.3,49.4
2025-11-20 14:56:00,19.3,49.5
2025-11-20 14:57:00,19.3,49.5
2025-11-20 14:58:00,19.3,49.6
2025-11-20 14:59:00,19.3,49.5
2025-11-20 15:00:00,19.2,49.6
2025-11-20 15:01:00,19.2,49.7
2025-11-20 15:02:00,19.2,49.7
2025-11-20 15:03:00,19.2,49.8
2025-11-20 15:04:00,19.2,49.8
2025-11-20 15:05:00,19.2,49.9
2025-11-20 15:06:00,19.2,49.9
2025-11-20 15:07:00,19.1,49.9
2025-11-20 15:08:00,19.1,49.9
2025-11-20 15:09:00,19.1,50
2025-11-20 15:10:00,19.1,50
2025-11-20 15:11:00,19.1,50
2025-11-20 15:12:00,19.1,49.9
2025-11-20 15:13:00,19.1,50
2025-11-20 15:14:00,19.1,50
2025-11-20 15:15:00,19.1,50.1
2025-11-20 15:16:00,19.1,50.1
