Date,Time,P,OP
29/06/2022,11:56:00,682,613
30/06/2022,12:14:40,688,618
01/07/2022,12:33:20,695,623
02/07/2022,12:52:00,702,628
03/07/2022,13:23:30,707,635
04/07/2022,13:55:00,712,642
05/07/2022,14:34:00,717,646
06/07/2022,15:42:00,722,650.5
07/07/2022,16:50:00,727,655
08/07/2022,16:59:00,731.5,660
09/07/2022,17:08:00,736,665
10/07/2022,17:17:00,740.5,670
11/07/2022,17:26:00,745,675
12/07/2022,16:00:00,750,680
13/07/2022,15:52:09,754.43,684.29
14/07/2022,15:44:17,758.86,688.58
15/07/2022,15:36:26,763.29,692.87
16/07/2022,15:28:34,767.72,697.16
17/07/2022,15:20:43,772.15,701.45
18/07/2022,15:12:51,776.58,705.74
19/07/2022,15:05:00,781,710
20/07/2022,15:19:15,786.25,714
21/07/2022,15:33:30,791.5,718
22/07/2022,15:47:45,796.75,722
23/07/2022,16:02:00,802,726
24/07/2022,15:19:00,806.3333333,730.6666667
25/07/2022,14:36:00,810.6666667,735.3333333
26/07/2022,13:53:00,815,740
27/07/2022,14:40:00,819,744.5
28/07/2022,15:27:00,823,749
29/07/2022,19:38:00,828,752
30/07/2022,17:47:00,832,753
31/07/2022,13:26:00,834,759
01/08/2022,20:54:00,841,763
02/08/2022,18:51:00,844.5,767.5
03/08/2022,16:48:00,848,772
04/08/2022,13:54:00,851,776
05/08/2022,11:00:00,854,780
06/08/2022,14:56:00,859,784
07/08/2022,16:04:15,863.25,789
08/08/2022,17:12:30,867.5,794
09/08/2022,18:20:45,871.75,799
10/08/2022,19:29:00,876,804
11/08/2022,15:47:30,879.5,808
12/08/2022,12:06:00,883,812
13/08/2022,15:50:00,888,816
14/08/2022,11:41:00,891,819
15/08/2022,13:34:00,895.5,823.5
16/08/2022,15:27:00,900,828
17/08/2022,13:26:00,903,832
18/08/2022,13:03:30,907,836.5
19/08/2022,12:41:00,911,841
20/08/2022,17:41:00,917,847
21/08/2022,14:11:00,920,851
22/08/2022,17:31:00,924,855
23/08/2022,14:37:00,927.5,858.5
24/08/2022,11:43:00,931,862
25/08/2022,20:24:00,938,866
26/08/2022,13:50:00,940,871
27/08/2022,18:29:00,947,876
28/08/2022,15:13:00,950,879.5
29/08/2022,11:57:00,953,883
30/08/2022,16:25:00,959,888
31/08/2022,10:47:00,962,893
01/09/2022,12:34:40,967,898.3
02/09/2022,14:22:20,972,903.6
03/09/2022,16:10:00,977,909
04/09/2022,15:00:00,981,913
05/09/2022,14:00:00,985,917
06/09/2022,12:17:00,989,921
07/09/2022,12:44:00,994,926
08/09/2022,13:11:00,999,931
09/09/2022,20:02:00,1005,936
10/09/2022,17:06:00,1009,940.5
11/09/2022,14:16:00,1013,945
12/09/2022,18:30:00,1020,949
13/09/2022,14:14:00,1023,953
14/09/2022,15:32:00,1027,954
15/09/2022,15:30:00,1031,954.5
16/09/2022,15:45:00,1035,955
17/09/2022,18:17:00,1040,956
18/09/2022,10:53:00,1042,965
19/09/2022,15:52:00,1048,966
20/09/2022,12:51:00,1051,966.5
21/09/2022,13:52:00,1055,972
22/09/2022,16:32:00,1061,980
23/09/2022,19:41:00,1065,983
24/09/2022,18:28:00,1068.5,987
25/09/2022,17:15:00,1072,991
26/09/2022,16:02:00,1075.5,995
27/09/2022,14:50:00,1079,999
28/09/2022,18:14:00,1082,1004
29/09/2022,14:41:00,1085,1010
30/09/2022,18:00:00,1089,1013
01/10/2022,20:45:00,1094,1017
02/10/2022,16:59:00,1096,1023
03/10/2022,20:55:00,1100,1027
04/10/2022,18:23:00,1103.5,1030
05/10/2022,15:51:00,1107,1033
06/10/2022,10:29:00,1110,1034
07/10/2022,19:37:00,1117,1036
08/10/2022,15:47:00,1120,1044
09/10/2022,17:35:00,1123,1045
10/10/2022,20:47:00,1129,1045
11/10/2022,09:52:00,1130,1046
